Name;Zone;HydroSystem;NumberUnits;MaxPower;MinPower;MaxVolume;MinVolume;Inflows;InflowsProfile;InitialVolume;TurbineEfficiency;PumpingEfficiency;AddPumpedStorage;WaterValues
G0021;ES00036;1;1;158.0;0.0;220461.54991836735;0.0;363767.0421955782;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;66138.4649755102;1.0;0.0;0.0;bellman_nutsx.csv
G0029;ES00056;1;1;265.0;0.0;369761.4603061225;0.0;610115.6087457483;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;110928.43809183674;1.0;0.0;0.0;bellman_nutsx.csv
G0030;ES00056;1;1;234.0;0.0;326506.34608163266;0.0;538743.5941377551;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;97951.9038244898;1.0;0.0;0.0;bellman_nutsx.csv
G0031;ES00057;1;1;1452.0;0.0;2.02601373722449e6;0.0;3.3429730713163265e6;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;607804.121167347;1.0;0.0;0.0;bellman_nutsx.csv
G0057;ES00099;1;1;758.0;0.0;1.057657309102041e6;0.0;1.7451608733180272e6;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;317297.1927306123;1.0;0.0;0.0;bellman_nutsx.csv
G0064;ES00112;1;1;331.0;0.0;461852.99381632655;0.0;762068.9301692176;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;138555.89814489795;1.0;0.0;0.0;bellman_nutsx.csv
G0094;ES00161;1;1;200.0;0.0;279065.25306122453;0.0;460464.6103741497;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;83719.57591836735;1.0;0.0;0.0;bellman_nutsx.csv
G0135;ES00204;1;1;341.0;0.0;475806.2564693878;0.0;785092.1606879252;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;142741.87694081632;1.0;0.0;0.0;bellman_nutsx.csv
G0156;ES00242;1;1;185.0;0.0;258135.35908163266;0.0;425929.76459608844;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;77440.60772448979;1.0;0.0;0.0;bellman_nutsx.csv
G0158;ES00242;1;1;185.0;0.0;258135.35908163266;0.0;425929.76459608844;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;77440.60772448979;1.0;0.0;0.0;bellman_nutsx.csv
G0161;ES00246;1;1;1229.0;0.0;1.7148559800612247e6;0.0;2.8295550307491496e6;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;514456.79401836736;1.0;0.0;0.0;bellman_nutsx.csv
G0214;ES00305;1;1;194.0;0.0;270693.2954693877;0.0;446650.6720629251;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;81207.98864081631;1.0;0.0;0.0;bellman_nutsx.csv
G0221;ES00313;1;1;285.0;0.0;397667.9856122449;0.0;656162.0697831633;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;119300.39568367347;1.0;0.0;0.0;bellman_nutsx.csv
G0222;ES00313;1;1;399.0;0.0;556735.1798571429;0.0;918626.8976964285;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;167020.55395714284;1.0;0.0;0.0;bellman_nutsx.csv
G0224;ES00316;1;1;115.0;0.0;160462.5205102041;0.0;264767.15096513607;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;48138.75615306123;1.0;0.0;0.0;bellman_nutsx.csv
G0226;ES00319;1;1;132.0;0.0;184183.06702040817;0.0;303906.64284693875;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;55254.92010612245;1.0;0.0;0.0;bellman_nutsx.csv
G0232;ES00326;1;1;408.0;0.0;569293.116244898;0.0;939347.8051632653;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;170787.93487346938;1.0;0.0;0.0;bellman_nutsx.csv
G0233;ES00326;1;1;381.0;0.0;531619.3070816327;0.0;877185.0827627551;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;159485.7921244898;1.0;0.0;0.0;bellman_nutsx.csv
G0280;ES00366;1;1;373.0;0.0;520456.6969591837;0.0;858766.4983477892;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;156137.0090877551;1.0;0.0;0.0;bellman_nutsx.csv
G0289;ES00372;1;1;400.0;0.0;558130.5061224491;0.0;920929.2207482994;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;167439.1518367347;1.0;0.0;0.0;bellman_nutsx.csv
G0293;ES00379;1;1;488.0;0.0;680919.2174693878;0.0;1.123533649312925e6;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;204275.76524081634;1.0;0.0;0.0;bellman_nutsx.csv
G0342;ES00445;1;1;162.0;0.0;226042.85497959185;0.0;372976.33440306125;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;67812.85649387755;1.0;0.0;0.0;bellman_nutsx.csv
G0369;ES00475;1;1;273.0;0.0;380924.0704285715;0.0;628534.1931607143;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;114277.22112857144;1.0;0.0;0.0;bellman_nutsx.csv
G0398;ES00498;1;1;117.0;0.0;163253.17304081633;0.0;269371.79706887755;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;48975.9519122449;1.0;0.0;0.0;bellman_nutsx.csv
G0437;ES00547;1;1;478.0;0.0;666965.9548163265;0.0;1.1005104187942178e6;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;200089.78644489794;1.0;0.0;0.0;bellman_nutsx.csv
G0444;ES00553;1;1;243.0;0.0;339064.2824693878;0.0;559464.5016045918;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;101719.28474081634;1.0;0.0;0.0;bellman_nutsx.csv
G0458;ES00574;1;1;129.0;0.0;179997.0882244898;0.0;296999.6736913265;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;53999.126467346934;1.0;0.0;0.0;bellman_nutsx.csv
G0594;ES00801;1;1;275.0;0.0;383714.72295918374;0.0;633138.8392644558;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;115114.41688775511;1.0;0.0;0.0;bellman_nutsx.csv
G0602;ES00812;1;1;171.0;0.0;238600.79136734694;0.0;393697.24186989793;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;71580.23741020408;1.0;0.0;0.0;bellman_nutsx.csv
G0637;ES00853;1;1;167.0;0.0;233019.48630612248;0.0;384487.94966241496;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;69905.84589183674;1.0;0.0;0.0;bellman_nutsx.csv
G0651;ES00878;1;1;135.0;0.0;188369.04581632654;0.0;310813.61200255103;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;56510.71374489796;1.0;0.0;0.0;bellman_nutsx.csv
G0674;ES00906;1;1;123.0;0.0;171625.13063265308;0.0;283185.73538010207;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;51487.53918979592;1.0;0.0;0.0;bellman_nutsx.csv
G0706;ES00962;1;1;181.0;0.0;252554.0540204082;0.0;416720.47238860547;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;75766.21620612245;1.0;0.0;0.0;bellman_nutsx.csv
G0709;ES00964;1;1;133.0;0.0;185578.3932857143;0.0;306208.9658988095;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;55673.51798571429;1.0;0.0;0.0;bellman_nutsx.csv
G0741;ES01008;1;1;410.0;0.0;572083.7687755101;0.0;943952.4512670067;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;171625.13063265305;1.0;0.0;0.0;bellman_nutsx.csv
G0743;ES01014;1;1;123.0;0.0;171625.13063265308;0.0;283185.73538010207;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;51487.53918979592;1.0;0.0;0.0;bellman_nutsx.csv
G0912;ES01243;1;1;127.0;0.0;177206.43569387757;0.0;292395.02758758503;EDF__Inflow-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;53161.93070816327;1.0;0.0;0.0;bellman_nutsx.csv
